ID,Par1,Par2,Par3,instr_link
SAV,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
DIG,"[1,2,3,4,5,6,7,8,9,10,12,13]","[1,2,3,4,5,6,7,8,9,10,12,13]",,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
IND,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
CMA,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
POA,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
PRD,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
LIE,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
EXT,"[1,2,3,4,5,6,7,8,9,10,12,13]","[1,2,3,4,5,6,7,8,9,10,12,13]",,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
FOR,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
GGI,"[1,2,3,4,5,6,7,8,9,10,12,13]","[1,2,3,4,5,6,7,8,9,10,12,13]","[1,2,3,4,5,6,7,8,9,10,12,13]",https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
ENS,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
EFF,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
PRS,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
PAC,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
FAI,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
BEU,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
VOT,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
CHT,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
REC,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
SEA,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
MUL,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
PRO,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
CEE,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
PRE,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
TID,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
SIA,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
NEW,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
EGB,"[1,2,3,4,5,6,7,8,9,10,12,13]",,,https://raw.githack.com/sebre97/Attenuation/main/Instructions/html/instr/header.html
